text,label
"Dear students, the results of the mid semester examination are available on the college portal. Contact your class coordinator for any queries.",legitimate
"Dear Dr. Kumar, please find attached the revised manuscript. We have addressed all reviewer comments and would appreciate your feedback.",legitimate
"Dear user, your account will be suspended within 24 hours. Click the link below to verify your account immediately.",phishing
Urgent: unusual sign-in activity detected. Confirm your identity by logging in here or your access will be permanently blocked.,phishing
Your Microsoft 365 password expires today. Click here to keep your current password and avoid losing access to your mailbox.,phishing
Security alert: your PayPal account has been limited. Log in to resolve the issue and restore full access immediately.,phishing
"Dear customer, your SBI net banking account is blocked. Update your KYC and PAN details now by clicking the link to reactivate.",phishing
We detected suspicious activity on your Apple ID. Verify your account information now or it will be locked.,phishing
Your mailbox storage is full. Sign in to your webmail account to upgrade your quota or incoming messages will be rejected.,phishing
Final notice: your Amazon account payment method has failed. Update your billing information to avoid cancellation of your account.,phishing
Action required: confirm your login credentials to continue using our service. Failure to verify within 12 hours will result in termination.,phishing
Google security team: someone tried to access your account. Click the button to secure your account and enter your password.,phishing
Your account has been temporarily restricted due to policy violation. Verify your identity by entering your username and password here.,phishing
IT helpdesk: your university email will be deactivated. Re-validate your account by submitting your password on the secure portal.,phishing
"Dear account holder, we could not verify your details. Click on the link to confirm your card number, PIN and CVV immediately.",phishing
Netflix: your membership is on hold because of a billing problem. Update your payment details now to resume watching.,phishing
A document has been shared with you. Sign in with your email password to view the secure document.,phishing
Important: your Aadhaar and PAN are not linked with your bank account. Update immediately or your account will be frozen.,phishing
Your parcel could not be delivered. Confirm your address and pay a small redelivery fee using the link below within 24 hours.,phishing
Verify your email account now. Your account will be closed permanently if you do not respond to this notice today.,phishing
"Unauthorized login attempt blocked. To prevent account suspension, click here and verify your identity now.",phishing
Your online banking session has expired. Please login again through the link below to verify your account and avoid suspension.,phishing
"Dear user, we are upgrading our servers. Confirm your username and password to keep your account active.",phishing
HR notice: updated salary and bonus document is available. Log in with your company credentials to view it immediately.,phishing
Your account is at risk. Click here to verify your account information immediately to prevent unauthorized charges.,phishing
Microsoft Support: your license has expired and your account will be disabled. Sign in now to renew and verify your details.,phishing
Alert! Your credit card has been suspended. Call us or click the link to verify your card details and restore access.,phishing
Account verification required. Your access will be suspended in 24 hours unless you complete verification with your password.,phishing
Your Instagram account violated community guidelines. Confirm your login information within 24 hours to avoid permanent deletion.,phishing
"Dear student, your scholarship account needs urgent verification. Enter your bank login details on the link provided to receive funds.",phishing
Immediate action required: your Office password will expire in 2 hours. Click here to update your password now.,phishing
Security team: we have locked your account after multiple failed logins. Click below to unlock your account by verifying credentials.,phishing
Your Dropbox storage is suspended. Log in to verify ownership and recover your files before they are deleted.,phishing
UPI alert: your account will be blocked today. Verify your UPI PIN and OTP by clicking the link to continue using services.,phishing
"Reset your password immediately, we have noticed unusual activity. Click this link and enter your current password to proceed.",phishing
Your account will be suspended. Verify immediately.,phishing
Your email account is about to be deactivated. Click here to verify your account and keep your mailbox active.,phishing
"Congratulations! You have won 1,000,000 dollars in the international lottery. Send your bank details and a processing fee to claim your prize.",fraud
I am a barrister representing a late client who left an inheritance of 8.5 million dollars. Reply with your full name and bank account to receive the funds.,fraud
"Dear friend, I am a prince and need your help to transfer 25 million dollars out of the country. You will receive 30 percent. Kindly keep this confidential.",fraud
"Urgent wire transfer needed. Please process a payment of 45,000 dollars to the vendor account below today. I am in a meeting and cannot take calls.",fraud
Invest in our cryptocurrency platform and earn 300 percent returns in one week guaranteed. Send bitcoin to the wallet address to begin.,fraud
Your refund of 480 dollars is pending. Provide your bank account and card details so we can transfer the refund to you.,fraud
"Kindly purchase five gift cards of 100 dollars each and send me the codes. It is for a client surprise, I will reimburse you later.",fraud
You have been selected for a work from home job. Earn 5000 per day. Pay a registration fee of 2000 rupees to start.,fraud
"Dear beneficiary, funds of 4.2 million dollars are held at the bank in your name. Pay the release fee to claim the transfer.",fraud
Please find updated bank details for the invoice. Change the payment account for all future transfers and confirm once done.,fraud
CEO here. I need you to handle a confidential payment immediately. Wire the amount to the account I send and do not tell anyone.,fraud
Winner notification: your email was drawn in the online sweepstake. Pay the tax and courier charges to receive your prize money.,fraud
Get a loan approved instantly without documents. Pay an advance processing fee of 5000 to release the loan amount today.,fraud
Exclusive investment opportunity in forex trading with guaranteed profit and zero risk. Deposit money now and double it within days.,fraud
"Your lottery ticket won the jackpot in the Lucky Draw. To claim, send your identity documents and transfer the claim fee.",fraud
I am a widow with a large sum of money and need a trustworthy person to help distribute it to charity. Contact me with your bank information.,fraud
"Your invoice is overdue. Pay 2,350 dollars today by wire transfer to the account below to avoid legal action.",fraud
Refund available: the tax department owes you a refund. Enter your credit card number so the amount can be credited.,fraud
"Buy now, limited stock, pay via Western Union only. Send payment in advance and the goods will be shipped tomorrow.",fraud
We are offering a business partnership. You only need to send a small deposit of 1500 dollars to become an authorized agent.,fraud
"Dear sir, I have a contract worth 12 million dollars and need a foreign partner. Send your account number to receive your share.",fraud
Earn money online with our trading bot. Deposit 200 dollars in bitcoin and withdraw 2000 dollars next week guaranteed.,fraud
Your parcel is held at customs. Pay the clearance fee using gift cards or bitcoin to release your package.,fraud
Payroll update: please change my direct deposit to this new bank account before this month's payment run. Reply as soon as it is done.,fraud
"Congratulations, you are the lucky winner of a brand new car. Send a processing fee via money transfer to receive the prize.",fraud
Charity donation request: please transfer money to the account below to help victims urgently. Send by wire transfer today.,fraud
Crypto giveaway: send 0.1 bitcoin to the address and receive 1 bitcoin back instantly. Limited to the first 100 participants.,fraud
Overpayment notice: I sent you a cheque for too much. Please refund the difference by wire transfer to my account.,fraud
"Government grant approved for you. To receive the 50000 dollars grant, pay a small administrative fee first.",fraud
"Your insurance claim of 90,000 dollars is approved. Send your bank account details and pay the stamp duty to receive the settlement.",fraud
Rent deposit needed: send the advance deposit by bank transfer to secure the apartment before other buyers take it.,fraud
"Make quick money with our pyramid investment scheme. Recruit friends, pay the joining fee, and earn commissions daily.",fraud
I need you to purchase iTunes gift cards urgently for a client and email me the codes. I will refund you today.,fraud
